Sign Account,Street Number,Street Name,Size (LxW),Location Description (if no address),X Coordinate,Y Coordinate,Sign Type,Sign Technology,Sign Face Direction,Illumination,Sign Owner,Sign Owner Identifier,Context Picture Hyperlink,Ward_ID
42-004,2305,MARKHAM RD,unknown,unknown,325495.19,4852286.07,Pedestal,STATIC,unknown,Backlit,PATTISON,415101-4,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r91tyb8cwt84&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28265194&phx=0&phy=0&phscl=1&encType=1,42
42-005,0,SCARBOROUGH ROWS,10 x 20,"On Markham Rd. north of Finch, south side of CPRail tracks",325368.87,4852707.32,Ground,STATIC,N,Up,PATTISON,6120A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r92csc8cwpxh&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28264990&phx=0&phy=0&phscl=1&encType=1,42
42-005,0,SCARBOROUGH ROWS,10 x 20,"On Markham Rd. north of Finch, south side of CPRail tracks",325367.12,4852709.77,Ground,STATIC,S,Up,PATTISON,6120B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r92f0c8cwpws&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28265191&phx=0&phy=0&phscl=1&encType=1,42
42-006,2691,MARKHAM RD,10 x 20,unknown,325260.83,4853082.81,Ground,STATIC,S,Down,ASTRAL,492,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r92xpw8cwkns&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28265191&phx=0&phy=0&phscl=1&encType=1,42
42-006,2691,MARKHAM RD,10 x 20,unknown,325259.78,4853084.74,Ground,STATIC,N,Down,ASTRAL,491,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r92x5m8cwkrr&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28268172&phx=0&phy=0&phscl=1&encType=1,42
42-007,0,MARKHAM RD,10 x 20,On Markham Rd. just SE of Nashdene Rd.,325230.99,4853162.44,Ground,STATIC,S,Up,PATTISON,5075B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r9311v8cwjx6&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28264992&phx=0&phy=0&phscl=1&encType=1,42
42-007,0,MARKHAM RD,10 x 20,On Markham Rd. just SE of Nashdene Rd.,325230.12,4853164.55,Ground,STATIC,N,Up,PATTISON,5075A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r930cw8cwjxd&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28268172&phx=0&phy=0&phscl=1&encType=1,42
42-008,0,DEAN PARK RD,10 x 20,In Hydro field south of Markham Rd. & McNicoll Ave.,325179.54,4853323.12,Ground,STATIC,S,Up,CBS,1772,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r937hk8cwhfd&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28264780&phx=0&phy=0&phscl=1&encType=1,42
42-008,0,DEAN PARK RD,10 x 20,In Hydro field south of Markham Rd. & McNicoll Ave.,325179.34,4853324.55,Ground,STATIC,N,Up,CBS,1771,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r936r28cwhjf&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28252645&phx=0&phy=0&phscl=1&encType=1,42
42-011,0,MARKHAM RD,10 x 20,Near the NE corner of Markham Rd. & Passmore Ave.,324857.63,4854345.92,Ground,STATIC,S,Up,CBS,1675,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r94myc8cw6h5&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28248310&phx=0&phy=0&phscl=1&encType=1,42
42-011,0,MARKHAM RD,10 x 20,Near the NE corner of Markham Rd. & Passmore Ave.,324857.28,4854347.5,Ground,STATIC,N,Up,CBS,1674,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r94mj38cw6k5&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28250973&phx=0&phy=0&phscl=1&encType=1,42
42-012,0,MARKHAM RD,10 x 20,Slightly north of the corner of Markham Rd. & Passmore Ave.,324837.43,4854583.47,Ground,STATIC,S,Up,CBS,1681,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r94yfh8cw5ys&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28252191&phx=0&phy=0&phscl=1&encType=1,42
42-012,0,MARKHAM RD,10 x 20,Slightly north of the corner of Markham Rd. & Passmore Ave.,324837.26,4854585.05,Ground,STATIC,N,Up,CBS,1680,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r94y7k8cw5z7&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28250694&phx=0&phy=0&phscl=1&encType=1,42
42-013,1395,TAPSCOTT RD,10 x 20,unknown,325046.25,4855056.86,Ground,STATIC,W,Up,PATTISON,5235B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r95kc98cwd49&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28247578&phx=0&phy=0&phscl=1&encType=1,42
42-013,1395,TAPSCOTT RD,10 x 20,unknown,325047.82,4855056.51,Ground,STATIC,E,Up,PATTISON,5235A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r95kbx8cwcsz&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28252550&phx=0&phy=0&phscl=1&encType=1,42
42-014,1395,TAPSCOTT RD,10 x 20,unknown,325320.49,4855145.91,Ground,STATIC,W,Up,PATTISON,5230B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r95q3h8cwnr0&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28250692&phx=0&phy=0&phscl=1&encType=1,42
42-014,1395,TAPSCOTT RD,10 x 20,unknown,325322.07,4855145.74,Ground,STATIC,E,Up,PATTISON,5230A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r95pyc8cwnf6&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28250476&phx=0&phy=0&phscl=1&encType=1,42
